room_count,bathroom_count,size,price,log_price,category_encoded,city_encoded,region_encoded,type_encoded
2.0,1.0,200.0,130.0,2.113943352306837,5,0,7,0
3.0,2.0,143.0,360000.0,5.556302500767287,0,0,137,1
4.0,2.0,200.0,360000.0,5.556302500767287,0,0,70,1
3.0,1.0,150.0,350000.0,5.544068044350276,0,0,70,1
2.0,1.0,130.0,300000.0,5.477121254719663,0,0,70,1
4.0,2.0,120.0,200000.0,5.301029995663981,0,0,7,1
1.0,1.0,56.0,158000.0,5.198657086954422,0,0,107,1
2.0,2.0,136.0,300000.0,5.477121254719663,0,0,70,1
3.0,2.0,140.0,275000.0,5.439332693830263,0,0,107,1
1.0,1.0,27.0,70.0,1.845098040014257,0,0,7,0
1.0,1.0,36.0,119000.0,5.075546961392531,4,0,5,1
3.0,1.0,110.0,150000.0,5.176091259055681,0,0,187,1
2.0,1.0,100.0,230000.0,5.361727836017593,0,0,107,1
2.0,1.0,120.0,240000.0,5.380211241711606,0,0,70,1
-1.0,-1.0,-1.0,75000.0,4.8750612633917,6,0,5,1
3.0,1.0,165.0,1050000.0,6.021189299069938,0,0,107,1
1.0,1.0,70.0,830.0,2.9190780923760737,0,0,107,0
2.0,1.0,126.0,330000.0,5.518513939877887,0,0,70,1
5.0,3.0,327.0,880000.0,5.944482672150168,5,0,137,1
4.0,5.0,434.0,1800000.0,6.2552725051033065,5,0,137,1
3.0,3.0,278.0,750000.0,5.8750612633917,0,0,137,1
5.0,3.0,210.0,320000.0,5.505149978319906,5,0,6,1
2.0,2.0,186.0,470000.0,5.672097857935717,0,0,137,1
3.0,3.0,188.0,650000.0,5.812913356642856,0,0,137,1
4.0,3.0,370.0,1100000.0,6.041392685158225,0,0,137,1
2.0,2.0,120.0,100.0,2.0,0,0,70,0
1.0,1.0,87.0,243000.0,5.385606273598312,0,0,70,1
-1.0,-1.0,-1.0,97126380.0,7.987337202435764,6,0,161,1
3.0,3.0,165.0,650000.0,5.812913356642856,0,0,137,1
2.0,1.0,98.0,550.0,2.740362689494244,0,0,187,0
2.0,1.0,60.0,380.0,2.57978359661681,0,0,19,0
4.0,2.0,130.0,285000.0,5.45484486000851,0,0,107,1
-1.0,-1.0,-1.0,27400.0,4.437750562820388,6,0,5,1
3.0,1.0,85.0,150.0,2.1760912590556813,0,0,91,0
-1.0,-1.0,-1.0,400000.0,5.6020599913279625,6,0,187,1
1.0,1.0,60.0,180000.0,5.2552725051033065,0,0,70,1
2.0,1.0,130.0,750.0,2.8750612633917,0,0,137,0
2.0,1.0,120.0,700.0,2.845098040014257,0,0,137,0
4.0,2.0,110.0,830.0,2.9190780923760737,0,0,7,0
3.0,2.0,140.0,1400.0,3.146128035678238,0,0,7,0
2.0,1.0,130.0,650.0,2.812913356642856,5,0,91,0
4.0,1.0,110.0,1300.0,3.113943352306837,5,0,70,0
2.0,1.0,90.0,90.0,1.954242509439325,0,0,7,0
1.0,1.0,75.0,190000.0,5.278753600952829,0,0,70,1
2.0,2.0,100.0,850.0,2.929418925714293,0,0,137,0
4.0,1.0,100.0,400000.0,5.6020599913279625,0,0,7,1
-1.0,-1.0,-1.0,750000.0,5.8750612633917,6,0,7,1
